,Submission Date,Instituição de ensino superior,"Se outra, qual?",Dentro da minha instituição sou,Idade,Orientação sexual,Caso queiras especificar:,Identidade de género,Caso queiras especificar:.1,Sou intersexo:,Indica o teu conhecimento sobre >> Temas LGBTI+,Indica o teu conhecimento sobre >> Iniciativas dinamizadas sobre temas LGBTI+ na tua faculdade,Indica o teu conhecimento sobre >> A importância da existência de casas de banho neutras,Tens um núcleo LGBTI+ na tua instituição?,Tens conhecimento de alguma iniciativa relacionada com casas de banho neutras na tua instituição?,"Uma casa de banho neutra, para mim, é...",Quão confortável te sentes a usar... >> a casa de banho feminina?,Quão confortável te sentes a usar... >> a casa de banho masculina?,Já usaste uma casa de banho neutra num espaço público?,Quão confortável te sentes ao usar...,Quão confortável achas que te sentirias ao usar...,Queres justificar a tua resposta à pergunta anterior?,A tua instituição tem casas de banho neutras?,Como funcionam e quantas há?,Já sofreste discriminação ao utilizar uma casa de banho pública?,Esse episódio de discriminação foi numa instituição de ensino superior?,Como seria para ti uma casa de banho neutra segura?,Há mais alguma coisa que gostarias de nos dizer?
10,2022/07/14 10:45:41,Universidade de Lisboa - Faculdade de Ciências,,Alune,24-26,Heteressexual,Heterossexual até agora (mas nunca se sabe o que o futuro nos reserva),Não me identifico com estas opções,"Ser humano (não é uma resposta troll, estou a falar a sério, esta catagolação só nos divide ainda mais)",Não,3 - algum,1 - nenhum,2 - pouco,Não sei,,"Para todos, suponho. Para assim ninguém ficar de parte.",nunca usei,3 ,NÃO,,3 ,"Eu dou 3 (igual à minha resposta sobre a casa de banho para homens) não porque me sentiria confortável mas sim porque me sentiria tão desconfortável quanto numa casa de banho ""normal"", no meu caso, para homens. E não tem nada a ver com género. Tem a ver com o facto de ser uma casa de banho...",Não tenho a certeza,,Não,,"Boa questão. Sanitas com portas com trinco? Ausência de urinóis (igual para todos). De resto... como é que se definia uma casa de banho segura, ""antigamente""? 

Não será com câmaras de videovigilância com certeza...

O que eu sei é que muitas mulheres próximas de mim gostam da sua casa de banho só para mulheres precisamente devido à ausência de homens. Triste mas é a realidade. O que fazer com isto? Não sei.",Perguntas mais específicas sobre a aplicação de uma casa de banho neutra. Seria uma só para todos ou continuaria a haver duas casas de banho para os cis? Perguntar a opinião dos inquiridos sobre isso.
11,2022/07/14 10:39:59,Universidade de Lisboa - Faculdade de Ciências,,Docente,mais de 50,Heteressexual,,Homem cisgénero,,Não,4 - suficiente ,4 - suficiente ,1 - nenhum,Não sei,,Non sense,nunca usei,5,NÃO,,1,,Não,,Não,,,
12,2022/07/14 10:01:31,Outra,Faculdade de Letras de Lisboa,Ex-alune,30-39,Heteressexual,,Homem cisgénero,,Não,4 - suficiente ,1 - nenhum,4 - suficiente ,Sim,💋,"Tem de ter opção de mijar sentado e de pé; logo = à dos homens mas limpa?

Nasce do mesmo princípio que leva a que pessoal não-binário exija que a sociedade invente um pronome para eles.

Será a exigência legítima?",5,5,NÃO,,5,"Pessoalmente, a minha única exigência para com casas de banho é que estejam limpas. Tanto me faz se vou a A ou a B.",Não tenho a certeza,,Não,,Sem espelho?,"As questões que, para mim, devem ser colocadas são:

- A exigência de casas de banho neutras é legítima?  


- A implementação desses wc's proporciona um maior número de pessoas felizes?  


- Provoca discórdia, incoveniências logísticas/financeiras =  um menor número de pessoas felizes?

De qualquer das formas, este tema não deveria gastar tanto tempo e recursos. Mijem, caguem, limpem-se e ponham-se a andar daí para fora que essa casa de banho é pública!"
13,2022/07/14 03:24:33,Universidade de Lisboa - Faculdade de Ciências,,Ex-alune,24-26,Homossexual,,Homem cisgénero,,Não,4 - suficiente ,3 - algum,3 - algum,Sim,,,5,4,NÃO,,4,,Não,,Não,,,
14,2022/07/14 02:25:19,"Nenhuma, nunca frequentei/trabalhei no contexto de ensino superior",,Alune,menos de 18,Heteressexual,,Mulher trans,,Não,4 - suficiente ,1 - nenhum,2 - pouco,Não,,,5,1,SIM,5,,,Não,,Não,,,
15,2022/07/14 00:34:03,Universidade de Lisboa - Faculdade de Ciências,,"Alune
Investigadore",30-39,Heteressexual,,Homem cisgénero,,Não,4 - suficiente ,2 - pouco,4 - suficiente ,Não sei,,"Uma casa de banho que não segrega pessoas com base no seu sexo ou género. Qualquer pessoa a pode usar. Pode ser apenas um compartimento individual onde só pode entrar uma pessoa de cada vez, ou uma área comum com lavatórios e compartimentos individuais com sanitas.",nunca usei,4,NÃO,,3 ,"As primeiras utilizações seriam certamente um pouco estranhas, mas penso que com o hábito passava a ser tão confortável como em casas de banho separadas.

Como estou a fazer investigação, frequento uma zona da faculdade pouco movimentada (laboratórios), onde não tenho dúvida que seria relativamente fácil implementar uma casa de banho neutra. Na maioria das vezes estou sozinho nas casas de banho a que vou mais frequentemente. Nas zonas e corredores das salas de aula, onde o movimento de gente a entrar e sair de salas e auditórios é constante, certamente será de mais difícil implementação e poderá provocar alguma confusão, desconforto e filas de espera, algo que já acontece por vezes na casa de banho feminina. Essa confusão seria certamente exacerbada pelo facto de ser mais difícil implementar urinóis numa casa de banho neutra sem criar desconforto para os seus utilizadores.

Não obstante, penso que, com alguma ponderação e um bom projeto, seja perfeitamente exequível a adaptação de algumas das casas de banho (mesmo que não todas). Certamente que apoiarei qualquer iniciativa nesse sentido.",Não,,Não,,,
16,2022/07/13 22:57:30,Universidade de Lisboa - Faculdade de Ciências,,Ex-alune,22-23,Não quero especificar,,Mulher cisgénero,,Não,3 - algum,1 - nenhum,4 - suficiente ,Não sei,,Serve para não discriminar e permitir ser todos iguais .,5,nunca usei,SIM,4,,,Não tenho a certeza,,Não,,,
17,2022/07/13 22:38:17,Universidade de Lisboa - Faculdade de Ciências,,Prefiro não responder,mais de 50,Heteressexual,,Mulher cisgénero,,Não,2 - pouco,1 - nenhum,1 - nenhum,Não sei,Não,Não sei,5,1,NÃO,,2,,Não,,Não,,,
18,2022/07/13 21:41:37,Universidade de Lisboa - Faculdade de Ciências,,Alune,mais de 50,Heteressexual,,Mulher cisgénero,,Não,3 - algum,1 - nenhum,4 - suficiente ,Não sei,,"Seria uma casa de banho que podia ser utilizada por qualquer individuo, independentemente do sexo à nascença, do género, de ser trans, não binários, etc.

O motivo poderia eventualmente ser o evitar ter de utilizar uma casa de banho associada a um género com o qual o indivíduo não se identifica.

Apenas poderia concordar nas situações em que estivessem simultaneamente disponíveis casas de banho para sexo masculino, casas de banho para sexo feminino e casas de banho neutras, para permitir liberdade de escolha.",5,2,SIM,2,,"Sinto-me mais à vontade numa casa de banho destinada a pessoas do meu sexo, para além de usualmente serem bastante mais asseadas.",Não tenho a certeza,,Não,,Não seria.,"Penso que todos os indivíduos devem ter liberdade de escolha e não apenas as designadas minorias, as quais atualmente têm demonstrado por vezes alguma tendência ditatorial."
19,2022/07/13 21:00:52,Universidade de Lisboa - Faculdade de Ciências,,Ex-alune,27-29,Heteressexual,,Homem cisgénero,,Não,4 - suficiente ,2 - pouco,3 - algum,Não sei,,Para pessoas que não se identificam com géneros,nunca usei,5,NÃO,,3 ,,Não,,Não,,,
20,2022/07/13 20:34:17,Universidade de Lisboa - Faculdade de Ciências,,Alune,20-21,Homossexual,,Pessoa não-binária,,Não,5 - muito,3 - algum,4 - suficiente ,Sim,,"Para qualquer pessoa que não se sinta confortável nas casas de banho com genero atribuído. Permitem criar um espaço mais seguro e menos descriminatório, também podem contribuir para aliviar disforia e semelhantes",5,1,NÃO,,4,,Não,,Não,,,
21,2022/07/13 20:34:12,Universidade de Lisboa - Instituto Superior Técnico,,Alune,24-26,Homossexual,,Homem cisgénero,,Não,4 - suficiente ,4 - suficiente ,5 - muito,Sim,,,5,5,SIM,5,,,Não,,Não,,,
22,2022/07/13 20:29:25,Universidade de Lisboa - Faculdade de Ciências,,Ex-alune,18-19,Bissexual/Pansexual,,Homem trans,,Não,4 - suficiente ,3 - algum,5 - muito,Sim,,,3 ,1,NÃO,,5,,Não,,Sim,Não,,
23,2022/07/13 20:05:07,Universidade de Lisboa - Faculdade de Ciências,,"Alune
Investigadore",30-39,Assexual,,Mulher cisgénero,,Não,5 - muito,3 - algum,5 - muito,Sim,I am not,A bathroom where people of any gender can use. It should be implemented everywhere especially to minimise antagonism that non-cis people suffer.,5,2,SIM,5,,"It was clean, nobody asked questions. I used these both in small cafés in Portugal where there was only space for one person at a time, and in universities in the UK and Denmark. In the institution I was in in Denmark gender neutral bathrooms were the only ones available.",Não,,Não,,"I'd love it. Firstly because it'd be a sign of societal progress and of acceptance  and understanding of LGBTQIA+ issues. On a more practical side as a cis-woman, there'd likely be fewer queues for the bathroom!",
24,2022/07/13 19:43:32,Universidade de Lisboa - Faculdade de Ciências,,Docente,mais de 50,Heteressexual,,Mulher cisgénero,,Não,3 - algum,1 - nenhum,4 - suficiente ,Não sei,,Um disparate!,5,1,NÃO,,1,Não percebo que uma mulher seja obrigada contra sua vontade a usar uma casa de banho neutra em que todos podem ir!,Não tenho a certeza,,Não,,Não há casas de banho neutras seguras...,Esta ideia das casas de banho neutras é um profundo disparate!
25,2022/07/13 18:58:12,Universidade de Lisboa - Faculdade de Ciências,,Alune,20-21,Heteressexual,,Homem cisgénero,,Não,4 - suficiente ,2 - pouco,3 - algum,Não sei,Não,"Para toda a gente. Com o objetivo de fornecer um espaço seguro para pessoas LGBTQ+ usufruírem sem discriminação. Com o motivo de combater a discriminação sexual e de gênero, criar um ambiente inclusivo e mitigar incidentes de disforia de gênero.",3 ,5,SIM,5,,Sinto que é uma casa de banho normal.,Não,,Não,,"Uma casa de banho igual às outras. Nunca ouvi evidências que casas de banho neutras fossem mais propícias a hospedar casos de violação e/ou abuso sexual, físico etc...",Adorei o formulário e gostaria de aprender mais sobre o assunto!
26,2022/07/13 18:23:18,Universidade de Lisboa - Faculdade de Ciências,,Ex-alune,30-39,Heteressexual,,Mulher cisgénero,,Não,3 - algum,2 - pouco,3 - algum,Não sei,,"Just a normal restroom that anyone can enter. That’s it. No politics, no higher calling, no frills. Just a plain old restroom for plain old restroom purposes.",5,4,SIM,5,,It’s just a restroom!,Sim,"Every floor. Used like any normal gendered restroom, just… non-gendered.",Não,,,Don’t overthink
27,2022/07/13 18:22:01,Universidade de Lisboa - Faculdade de Ciências,,Alune,24-26,Em questionamento,"Gostaria de experimentar contacto com pessoas do mesmo género que o meu, parar me perceber melhor.",Mulher cisgénero,,Não,3 - algum,1 - nenhum,3 - algum,Não sei,,"Uma casa de banho que toda a gente é livre de utilizar, e um espaço onde todes se possam sentir confortáveis.  Numa tomada de decisão, será importante relembrar importância de respeitar o maior número de indivíduos possível, pelo que considero importante manter alguns wc específicos (feminino/masculino). Enquanto pessoa do género feminino, sinto que poderiam haver alguns momentos de desconforto em entrar num wc de género neutro, se por acaso, o mesmo estiver só com indivíduos do género masculino.",4,2,NÃO,,4,,Não tenho a certeza,,Não,,"Com cubículos de dimensões apropriadas*, com fechaduras operacionais e com portas até ao chão (preferencialmente com teto também).

* Apesar de ser uma pessoa de tamanho ''normal'', por vezes questiono-me como pessoas de maiores dimensões (peso e altura) se conseguem movimentar em espaços tão apertados, e realizar as suas necessidades de forma mais apropriada.",Parabéns pela iniciativa! Continuação de bom trabalho!
28,2022/07/13 17:44:07,Universidade de Lisboa - Faculdade de Ciências,,Funcionárie não docente,40-49,Heteressexual,,Mulher cisgénero,,Não,3 - algum,2 - pouco,4 - suficiente ,Sim,,"casa de banho partilhada entre género masculino/feminino e por quem não se identifica com qualquer um dos géneros. 

Com o objectivo de não haver descriminação e mau estar perante elementos que não se identificam com o genero com que nasceram, ou seja ser mais inclusivo",5,3 ,SIM,4,,,Não,,Não,,,
29,2022/07/13 17:15:58,Universidade de Lisboa - Faculdade de Ciências,,Docente,mais de 50,Heteressexual,,Homem cisgénero,,Não,2 - pouco,1 - nenhum,3 - algum,Não sei,No,A restroom that can be attended and used by anyone.,3 ,5,SIM,5,,"In a number of situations this is the type of public restroom available - from the car repair shop I use, to small businesses (restaurants/bars), to small shops - or not so small (my local supermarket has gender neutral restrooms),to public paying restrooms (!), I do not feel any problem in using a gender neutral restroom - some actually have both a urinal and a toilet - I just make a point of using a clean restroom and of leaving it (at least) in the same condition I found it!

This is also a very common situation in other countries where I have lived!",Não tenho a certeza,,Não,,"Exactly the way they already are:

- Identified as a restroom (most of the times without any gender ""sign"" - personally I have no objections to having a double gender sign (MAN/WOMAN), but I understand this may be ""delicate"" for some people, with individual cubicles",No
30,2022/07/13 17:10:01,Universidade de Lisboa - Faculdade de Ciências,,Docente,mais de 50,Heteressexual,,Homem cisgénero,,Não,2 - pouco,1 - nenhum,3 - algum,Não sei,,For anybody who needs a restroom. Facilitate their use and frequency for everyone.,nunca usei,nunca usei,NÃO,,3 ,If the bathroom is single use I would have no problem but for multiple use I would be very aware of a possible lack of privacy.,Não tenho a certeza,,Não,,OK,The English spelling could be better. Describe different types of restroom. How would you describe a safe restroom?
31,2022/07/13 16:59:55,Universidade de Lisboa - Faculdade de Ciências,,Funcionárie não docente,mais de 50,Heteressexual,,Mulher cisgénero,,Não,1 - nenhum,1 - nenhum,2 - pouco,Não sei,,,4,nunca usei,NÃO,,1,,Não,,Não,,,
32,2022/07/13 16:55:44,Universidade de Lisboa - Faculdade de Ciências,,Docente,mais de 50,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,2 - pouco,2 - pouco,Não sei,No,"Everyone that is comfortable with it, but mainly important for everyone that does not identify has being a woman or a man.",5,nunca usei,NÃO,,2,,Não,,Não,,I have never thought of it,No
33,2022/07/13 16:55:30,Universidade de Lisboa - Faculdade de Ciências,,Docente,40-49,Heteressexual,,Não me identifico com estas opções,"I describe myself as a woman based on biological identity, I do not identify with any concept of gender identity.",Não,4 - suficiente ,1 - nenhum,4 - suficiente ,Sim,,"A restroom that can be used by everyone.

I see several practical purposes in it by order of relevance (defined as how often this problem is likely to represent an issue): 1) solving the problem of parents with small children of the opposite sex; 2) solving the problem of people who feel uncomfortable or threatened when having to choose/use a sex-assigned restroom; 3) economy of means/resources that are necessary to keep separate male/female restrooms. 

All of these reasons justify that gender neutral rest-rooms make sense.",5,5,SIM,5,,,Não tenho a certeza,,Não,,,
34,2022/07/13 16:54:59,Universidade de Lisboa - Faculdade de Ciências,,Investigadore,40-49,Heteressexual,,Homem cisgénero,,Não,2 - pouco,1 - nenhum,2 - pouco,Não sei,,For everyone regardless of their gender identification.,nunca usei,5,NÃO,,3 ,"I wouldn't feel uncomfortable, but their ""target audience"" is nor cisgender men, so I'd probably keep using men's restrooms (when available), at least to make others feel more comfortable in the gender neutral ones.",Não tenho a certeza,,Não,,"Basically like a women's restroom. I.e., full privacy.",
35,2022/07/13 16:40:16,Outra,IPS,Outro,30-39,Heteressexual,,Homem cisgénero,,Não,1 - nenhum,1 - nenhum,1 - nenhum,Não sei,,To me this exposes womens. Subject to increases in cases of violation in the toilets. There is no privacy. But i respect all concepts.,1,5,NÃO,,1,There is no privacy.,Não,,Não,,It's no safe,No
36,2022/07/13 16:35:42,Universidade de Lisboa - Faculdade de Ciências,,Funcionárie não docente,30-39,Heteressexual,,Mulher cisgénero,,Não,2 - pouco,1 - nenhum,2 - pouco,Não,,,5,nunca usei,NÃO,,5,,Não,,Não,,,
37,2022/07/13 16:35:32,Universidade de Lisboa - Faculdade de Ciências,,Investigadore,mais de 50,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,1 - nenhum,1 - nenhum,Não sei,,"Another source of problems, as I already found students making love in normal unisex restrooms... at lunch time.",5,1,NÃO,,3 ,It depends on the behaviour and the conditions - I'm not interested in wash my hands looking at same guy dick i he is urinate near me.,Não,,Não,,"All closed cabines, no open places to urinate.",
38,2022/07/13 16:34:07,Universidade de Lisboa - Faculdade de Ciências,,Investigadore,40-49,Heteressexual,,Mulher cisgénero,,Não,4 - suficiente ,4 - suficiente ,4 - suficiente ,Não sei,no,Dangerous. As a woman I don't want to share a restroom with men for fear of sexual assault.,4,1,SIM,1,,"As a women I am afraid of sharing a restroom with men, for fear of sexual assault.",Não,,Não,,gender neutral restrooms cannot be safe for women,no
39,2022/07/13 16:32:40,Universidade de Lisboa - Faculdade de Ciências,,Outro,27-29,Heteressexual,,Mulher cisgénero,,Não quero especificar,5 - muito,1 - nenhum,4 - suficiente ,Sim,Não,Essencial!,5,1,SIM,3 ,,,Não,,Não,,,
40,2022/07/13 16:31:01,Universidade de Lisboa - Faculdade de Ciências,,Investigadore,mais de 50,Heteressexual,,Homem cisgénero,,Não,2 - pouco,1 - nenhum,1 - nenhum,Não sei,Não,Para todos,nunca usei,5,SIM,3 ,,,Não,,Não,,,
41,2022/07/13 16:29:08,Universidade de Lisboa - Faculdade de Ciências,,Investigadore,mais de 50,Heteressexual,,Homem cisgénero,,Não,2 - pouco,1 - nenhum,1 - nenhum,Não sei,,"Uma casa de banho sem género atribuído. Aberta a todos os géneros, garantindo a devida privacidade individual.",nunca usei,5,NÃO,,3 ,Não tenho a certeza. Depende do grau de privacidade.,Não tenho a certeza,,Não,,"Não tenho a certeza, mas uma que garanta a privacidade.",
42,2022/07/13 16:28:19,Universidade de Lisboa - Faculdade de Ciências,,Docente,mais de 50,Heteressexual,,Homem cisgénero,,Não,3 - algum,1 - nenhum,1 - nenhum,Não sei,,,nunca usei,nunca usei,NÃO,,1,,Não,,Não,,,
43,2022/07/13 16:27:14,Universidade de Lisboa - Faculdade de Ciências,,Docente,mais de 50,Heteressexual,,Mulher cisgénero,,Não,2 - pouco,1 - nenhum,4 - suficiente ,Não sei,Nao,Importante; para todos,5,nunca usei,NÃO,,4,"Desde que identificada e euipada adequadamente, acho que o nível de conforto será elevado",Não,,Não,,,
44,2022/07/13 16:17:43,Outra,Universidade do Minho e Universidade do Porto,Ex-alune,24-26,Homossexual,,Homem cisgénero,,Não,5 - muito,2 - pouco,5 - muito,Não sei,No,"For Trans and non binary people. Other gender identities could use them too, if gender specific bathrooms where to be fased out",4,5,SIM,5,,Bars and public events with gender neutral bathrooms. Not a big deal and nobody really cared who did what where,Não tenho a certeza,,Não,,Full of educated people who had been educated that tens people exist and just wanna go to the bathroom like anyone else without feeling discriminated or pressured to express any particular gender identity if they don't feel like it,
45,2022/07/13 02:11:57,Universidade de Lisboa - Instituto Superior Técnico,,Ex-alune,24-26,Assexual,,Pessoa não-binária,,Não,5 - muito,2 - pouco,5 - muito,Sim,,"Uma casa de banho singular ou múltipla, para pessoas de qualquer género poderem usar, para se sentirem segures e deixar de existir medo de discriminação ou preconceito pelo simples ato de alguém ser considerade dum certo género para aceder a uma casa de banho.",4,3 ,SIM,5,,,Não tenho a certeza,,Não,,Preferencialmente com cabines individuais,
46,2022/07/10 23:08:02,Outra,ufp,Outro,30-39,Heteressexual,,Homem cisgénero,,Não,5 - muito,1 - nenhum,1 - nenhum,Não,,,1,5,NÃO,,1,,Não,,Não,,se nao existisse,
47,2022/07/09 20:46:37,Outra,FCUP,Ex-alune,27-29,Não quero especificar,,Não quero especificar,,Não quero especificar,1 - nenhum,1 - nenhum,1 - nenhum,Não,,Uma aberração.,nunca usei,5,NÃO,,1,Essa merda de casas de banho neutras é para deficientes mentais.,Não,,Não,,Uma merda.,Ide trabalhar.
48,2022/07/08 00:29:34,Outra,Instituto superior de economia e gestão,Ex-alune,27-29,Heteressexual,,Mulher cisgénero,,Não,5 - muito,1 - nenhum,1 - nenhum,Não sei,,"Uma não questão. As casas de banho deverão ser mantidas como estão,  para mulheres e homens, com adaptações a pessoas com deficiência e fraldarios em ambas. Há que pensar nas questões de segurança, principalmente das mulheres e raparigas.",5,1,SIM,1,,,Não,,Não,,Não consigo conceber,
49,2022/07/07 20:13:11,Outra,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Alune,22-23,Assexual,Demisexual,Pessoa não-binária,Agénero,Não,5 - muito,1 - nenhum,4 - suficiente ,Não sei,,Uma maneira de evitar más reações e constrangimentos em pessoas que se sintam incomodadas em usar uma casa de banho do género que lhes foi designado à nascença,nunca usei,4,NÃO,,4,Não me faz diferença,Não,,Não,,"Não depende da casa de banho em si, depende da educação dada sobre o tema e a existência de mecanismos nas instituições onde se pode confiavelmente reportar abusos",
50,2022/07/07 16:20:32,Outra,EPCJC,Outro,27-29,Heteressexual,,Não quero especificar,,Não quero especificar,1 - nenhum,1 - nenhum,1 - nenhum,Não sei,,Desnecessário,nunca usei,5,NÃO,,1,,Não tenho a certeza,,Não,,,
51,2022/07/07 16:06:31,"Nenhuma, nunca frequentei/trabalhei no contexto de ensino superior",,Prefiro não responder,40-49,Heteressexual,,Homem cisgénero,,Não,3 - algum,3 - algum,4 - suficiente ,Não,,,nunca usei,3 ,SIM,3 ,,,Não tenho a certeza,,Não,,,
52,2022/07/07 13:41:45,Outra,Universidade do Minho,Outro,30-39,Heteressexual,,Homem cisgénero,,Não,1 - nenhum,2 - pouco,1 - nenhum,Não sei,Não,Uma idiotice,1,5,NÃO,,1,,Não tenho a certeza,,Não,,,Tenham juízo
53,2022/07/07 13:08:19,Outra,"Universidade Nova de Lisboa, faculdade de ciências sociais e humanas",Alune,22-23,Heteressexual,,Não me identifico com estas opções,,Não,4 - suficiente ,4 - suficiente ,1 - nenhum,Não sei,,"Para qualquer um que se sinta confortável em partilhar a mesma com pessoas de sexos diferentes. Se as casas de banho forem individuais, não há qualquer problema em serem partilhadas, uma vez que cada um de nós tem o seu próprio espaço sem ser incomodado ou sem se sentir mal.",5,2,NÃO,,3 ,"Sentir-me-ia mais confortável se as casas de banho fossem individuais, ou seja, sem urinóis ou coisas do tipo.",Não,,Não,,,
54,2022/07/07 12:03:36,Outra,Lusíada Lisboa,Ex-alune,27-29,Heteressexual,,Não me identifico com estas opções,Heterosexual,Não,1 - nenhum,1 - nenhum,1 - nenhum,Não sei,,,nunca usei,5,NÃO,,1,,Não tenho a certeza,,Não,,,Ganhem juízo
55,2022/07/07 10:54:57,Outra,minho,Prefiro não responder,30-39,Heteressexual,,Não quero especificar,,Não quero especificar,1 - nenhum,1 - nenhum,1 - nenhum,Não,nem quero saber,sem sanitas,1,5,NÃO,,1,isso nem existe,Não,,Não,,erro,nada
56,2022/07/07 10:21:14,Universidade de Lisboa - Instituto Superior Técnico,,Outro,30-39,Heteressexual,a serio.?,Homem cisgénero,,Não,1 - nenhum,1 - nenhum,1 - nenhum,Não sei,Nao. Estudei numa epoca em que as pessoas eram mais normais.,Para homens se vestirem de mulheres e irem espreitar (ou pior) mulheres (ou raparigas menores). ,nunca usei,3 ,NÃO,,1,Nao gosto do carnaval. Nao gosto de frequentar wc publicas. As 2 juntas...,Não,,Não,,Nao existe tal coisa,Quo vadis mundo
57,2022/07/07 09:58:38,Universidade de Lisboa - Instituto Superior Técnico,,Outro,18-19,Heteressexual,,Não me identifico com estas opções,Homem,Não,3 - algum,1 - nenhum,3 - algum,Não sei,,,nunca usei,5,NÃO,,1,,Não tenho a certeza,,Não,,,
